"","StandNum","REGION","FORESTNUMB","DISTRICTNU"
"1","9283","09","19","03"
"2","9011_2","08","08","04"
"3","12333_1","09","19","02"
"4","12333_2","09","19","02"
"5","14310_1","08","08","04"
"6","14334_1","09","19","02"
"7","14334_2","09","19","02"
"8","15259_2","09","19","02"
"9","15259_1","09","19","02"
"10","15546_1","09","20","03"
"11","15158_1","09","21","01"
"12","14191_1","09","19","02"
"13","15745_2","09","21","01"
"14","15745_1","09","21","01"
"15","15194_1","09","21","01"
"16","15194_2","09","21","01"
"17","16166_1","09","21","01"
"18","15485_2","09","19","02"
"19","15485_1","09","19","02"
"20","16621_1","08","08","04"
"21","17312_1","09","20","03"
"22","17657_1","09","21","01"
"23","17657_2","09","21","01"
"24","17311_1","09","20","03"
"25","12096_1","09","19","02"
"26","17331_1","09","21","01"
"27","16960_1","09","21","01"
"28","17857_1","09","21","01"
"29","9162_1","09","19","02"
"30","16820_1","08","08","11"
"31","16820_2","08","08","11"
"32","16847_1","08","08","14"
"33","17109_1","09","21","02"
"34","17109_2","09","21","02"
"35","17025_1","09","20","03"
"36","16812_1","09","20","03"
"37","17986_1","09","21","01"
"38","17986_2","09","21","01"
"39","17637_1","08","08","04"
"40","17576_1","09","21","01"
"41","17703_1","09","21","01"
"42","17723_1","09","20","03"
"43","17926_1","09","20","03"
"44","16719_1","09","21","01"
"45","15366_1","09","21","01"
"46","15366_2","09","21","01"
"47","16652_1","09","21","01"
"48","15382_1","08","08","04"
"49","16614_1","09","21","05"
"50","15903_2","08","08","04"
"51","15903_3","08","08","04"
"52","17614_1","08","08","04"
"53","13157_1","09","19","02"
"54","16951_1","09","14","03"
"55","17212_1","09","21","01"
"56","15078_1","09","21","01"
"57","17474_1","08","08","04"
"58","8797_1","09","20","03"
"59","16505_1","08","08","04"
"60","17479_1","08","08","04"
"61","16796_1","09","21","02"
"62","14882_1","09","19","02"
"63","14090_8","09","19","02"
"64","14090_9","09","19","02"
"65","14090_7","09","19","02"
"66","14090_2","09","19","02"
"67","14090_4","09","19","02"
"68","14090_3","09","19","02"
"69","14090_5","09","19","02"
"70","14090_6","09","19","02"
